kernel_size,pooling_size,dropout_rate,dense_units,avg_test_accuracy_returned_by_model,std_test_accuracy_returned_by_model,avg_test_accuracy_postprocess,avg_precision_postprocess,avg_recall_postprocess,avg_f1_postprocess
"(3, 3)","(2, 2)",0.2,"(128, 64)",75.19063152548112,2.8473178442245225,0.7519063152548112,0.7566840371789742,0.7519063152548112,0.7516785913598113
"(3, 3)","(2, 2)",0.2,"(256, 128)",75.87062475308992,2.0512875471049614,0.758706247530899,0.7730053678001751,0.758706247530899,0.7594525717969827
"(3, 3)","(2, 2)",0.3,"(128, 64)",74.11488232970258,2.837032452936817,0.7411488232970258,0.7494411867816731,0.7411488232970258,0.7410676833516119
"(3, 3)","(2, 2)",0.3,"(256, 128)",74.853180202043,1.1979836337975544,0.74853180202043,0.7597884869998609,0.74853180202043,0.747758314844001
"(3, 3)","(3, 3)",0.2,"(128, 64)",71.78050115695017,1.9653676735633946,0.7178050115695017,0.7225055614121387,0.7178050115695017,0.7155927216041257
"(3, 3)","(3, 3)",0.2,"(256, 128)",72.249878661324,2.363496075747512,0.7224987866132399,0.7314716826660893,0.7224987866132399,0.7221678624440792
"(3, 3)","(3, 3)",0.3,"(128, 64)",70.54034652068402,2.258881497982578,0.7054034652068401,0.7170779772814868,0.7054034652068401,0.7027984214187087
"(3, 3)","(3, 3)",0.3,"(256, 128)",72.38420339748292,1.8695486758701433,0.7238420339748292,0.7418335072696501,0.7238420339748292,0.7213273113189461
"(5, 5)","(2, 2)",0.2,"(128, 64)",75.44907726169648,1.7273902512446475,0.7544907726169649,0.7677425028632464,0.7544907726169649,0.7550734479012928
"(5, 5)","(2, 2)",0.2,"(256, 128)",76.3524860319431,2.1610092903479853,0.7635248603194311,0.769987292686674,0.7635248603194311,0.7624356598041358
"(5, 5)","(2, 2)",0.3,"(128, 64)",72.63015407190022,3.376485028267328,0.7263015407190022,0.750765675679522,0.7263015407190022,0.7254914897414641
"(5, 5)","(2, 2)",0.3,"(256, 128)",72.94475421863535,7.086439788449821,0.7294475421863536,0.7522537386198864,0.7294475421863536,0.7239421323505656
"(5, 5)","(3, 3)",0.2,"(128, 64)",72.19340820588069,5.386205961053993,0.7219340820588069,0.7564033311764595,0.7219340820588069,0.7206915230990462
"(5, 5)","(3, 3)",0.2,"(256, 128)",71.92829730797447,6.1720022806928155,0.7192829730797448,0.753038280556583,0.7192829730797448,0.7152038546720994
"(5, 5)","(3, 3)",0.3,"(128, 64)",74.64338845307298,3.479604646171937,0.7464338845307298,0.7641220813166952,0.7464338845307298,0.7429098010673344
"(5, 5)","(3, 3)",0.3,"(256, 128)",72.46916868897792,4.835808511255548,0.7246916868897793,0.7493232196812208,0.7246916868897793,0.7195113121953698

